DEPADM;DepBol;NomeDepBol;codRMet;CODMUN;MUN;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;241
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;9;GERAL;2;MATEMÁTICA;245,3
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;9;GERAL;3;CIÊNCIAS;258,6
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;280,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;258,5
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;275,9
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;207,7
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;3;NOITE;2;MATEMÁTICA;227,2
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;3;NOITE;3;CIÊNCIAS;247,9
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;257,5
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;9;GERAL;2;MATEMÁTICA;248,6
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;EM-3ª série;9;GERAL;3;CIÊNCIAS;267
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;222,3
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;246
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;257,5
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;222,3
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;9;GERAL;2;MATEMÁTICA;246
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;9;GERAL;3;CIÊNCIAS;257,5
1;1;Rede Estadual;5;158;ALTAIR;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;255,3
1;1;Rede Estadual;5;158;ALTAIR;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;259,9
1;1;Rede Estadual;5;158;ALTAIR;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;265,1
1;1;Rede Estadual;5;158;ALTAIR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;255,3
1;1;Rede Estadual;5;158;ALTAIR;EM-3ª série;9;GERAL;2;MATEMÁTICA;259,9
1;1;Rede Estadual;5;158;ALTAIR;EM-3ª série;9;GERAL;3;CIÊNCIAS;265,1
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;237,9
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,3
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;249,9
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;237,9
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,3
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;9;GERAL;3;CIÊNCIAS;249,9
1;1;Rede Estadual;6;159;ALTINOPOLIS;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;258,9
1;1;Rede Estadual;6;159;ALTINOPOLIS;EM-3ª série;2;TARDE;2;MATEMÁTICA;255,8
1;1;Rede Estadual;6;159;ALTINOPOLIS;EM-3ª série;2;TARDE;3;CIÊNCIAS;249,6
1;1;Rede Estadual;6;159;ALTINOPOLIS;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;258,9
1;1;Rede Estadual;6;159;ALTINOPOLIS;EM-3ª série;9;GERAL;2;MATEMÁTICA;255,8
1;1;Rede Estadual;6;159;ALTINOPOLIS;EM-3ª série;9;GERAL;3;CIÊNCIAS;249,6
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;247,2
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;263,4
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;263,4
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;247,2
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;9;GERAL;2;MATEMÁTICA;263,4
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;9;GERAL;3;CIÊNCIAS;263,4
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;266,3
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;274,1
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;261
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;263,8
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;3;NOITE;2;MATEMÁTICA;284,9
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;3;NOITE;3;CIÊNCIAS;273,3
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;264,5
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;9;GERAL;2;MATEMÁTICA;281,6
1;1;Rede Estadual;5;160;ALTO ALEGRE;EM-3ª série;9;GERAL;3;CIÊNCIAS;269,6
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;230,2
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;239,8
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;257,1
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;230,2
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;9;GERAL;2;MATEMÁTICA;239,8
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;9;GERAL;3;CIÊNCIAS;257,1
1;1;Rede Estadual;5;161;ALVARES FLORENCE;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;248,2
1;1;Rede Estadual;5;161;ALVARES FLORENCE;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;267,1
1;1;Rede Estadual;5;161;ALVARES FLORENCE;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;247,3
1;1;Rede Estadual;5;161;ALVARES FLORENCE;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;248,2
1;1;Rede Estadual;5;161;ALVARES FLORENCE;EM-3ª série;9;GERAL;2;MATEMÁTICA;267,1
1;1;Rede Estadual;5;161;ALVARES FLORENCE;EM-3ª série;9;GERAL;3;CIÊNCIAS;247,3
1;1;Rede Estadual;5;162;ALVARES MACHADO;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;252,6
